# 0 is zombie, 1 is seaman, 2 is werewolf
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;2
10;2
10;2
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;1
10;1
10;1
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;2
10;2
10;2
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;1
10;1
10;1
120;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
30;2
100;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;2
10;2
10;2
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;1
10;1
10;1
30;0
30;0
30;0
30;0
30;0
60;2
10;2
10;2
15;1
15;2
15;1
10;1
80;0
30;0
30;0
60;2
10;2
10;2
30;0
30;0
30;0
30;0
30;0
1500;3
